id,reference,prediction,ROUGE,BERTScore,Difference
96,"commande groupée pour une école, vérification du montant minimal requis pour la prise en charge VGC et tentative de transfert mais service indisponible",Un représentant scolaire commande 200 tickets de métro pour Paris. Des problèmes surviennent concernant le paiement à distance et l'obtention d'un tarif réduit.,0.1132,0.681,0.5678
184,La cliente veut savoir comment recharger son pass Imaginaire. L'agent lui dit de se rendre à  un guichet pour vérifier que sa carte est rechargeable.,Une étudiante a appelé pour des informations sur le rechargement de son passe Navigo. L'agent a expliqué le processus et résolu son problème.,0.1923,0.7594,0.5671
28,Le client a une carte émeraude avec un coupon de grauité qui a été avalé par la machine à  la station la défense. Il a écrit au service réclamation et attend une réponse depuis 3 semaines. L'agent lui répond que ce délais est normal mais n'arrive pas à  contacter le service réclamation. Il faudra que le client rappelle dans une semaine. Le coupon sera renvoyé à  sa mairie.,Un ancien combattant a perdu sa carte Émeraude RATP. L'agent l'a conseillé sur le processus de réclamation et les prochaines étapes à suivre.,0.1633,0.7276,0.5643
5,Demande d'indemnisation du au grève. Appeler plus tard pour avoir plus d'informations.,"Un client demande des informations sur la compensation suite à des grèves perturbant ses voyages, mais l'agent ne peut fournir de détails concrets.",0.15,0.7064,0.5564
147,La cliente veut contacter la personne responsable des autorisations de prise de vue. L'agent lui donne son numéro de téléphone et son mail.,"Un client a appelé pour obtenir des informations de contact spécifiques, l'agent a fourni les informations nécessaires, résolvant le problème du client.",0.1852,0.7404,0.5552
119,"lequel des bus 154 faut-il prendre pour descendre à une station donnée, en fait c'est un vieux plan et les antennes n'existent plus, il n'y a qu'un seul bus, indication du meilleur itinéraire possible qui utilise en fait un autre bus",Un client confus sur l'itinéraire du bus 154 reçoit des conseils pour atteindre l'hôpital Moulins Gémeaux à Saint-Denis via le bus 255.,0.1067,0.6613,0.5547
107,"demande procédure pour remboursement suite à achat tickets car envoi tardif du passe ImaginR, attente au-delà de 3 semaines donc possible, appeler ImaginR ou par mail",Un client cherche un remboursement pour une carte Orange achetée suite au retard de sa carte Imagine+R. L'agent suggère de contacter Imagine+R pour une solution.,0.1404,0.6949,0.5546
84,"Demande d'information sur l'existence de plusieurs lignes de bus 154 (A, B, C). Une seule ligne existante à ce jour. Réalisation d'un meilleur  itinéraire.",Un client confus sur l'itinéraire du bus 154 reçoit des conseils pour atteindre l'hôpital Moulins Gémeaux à Saint-Denis via le bus 255.,0.1429,0.6967,0.5539
101,La cliente fait une réclamation pour choc psychologique suite à  une crise d'épilépsie du chauffeur de la ligne 86 le 9 novembre à  19h au pont de Sully. L'agent contacte le service concerné pour obtenir le responsable de la ligne et le passer à  la cliente.,"Un client rapporte un incident psychologique causé par un chauffeur de bus épileptique, cherchant une résolution auprès du responsable de la ligne.",0.2254,0.779,0.5537
200,"Demande de renseignements sur la perte d'une carte émeraude. Réception de la plainte, attendre la prise en charge de la perte par les services.",Un ancien combattant a perdu sa carte Émeraude RATP. L'agent l'a conseillé sur le processus de réclamation et les prochaines étapes à suivre.,0.1569,0.7079,0.551
186,"Demande de renseignements sur la perte de documents médicaux dans le bus 27 en direction de Saint Lazare. Non retrouvé, communication de l'adresse du centre des objets trouvés.","Un client a perdu un porte-document dans un autobus; malgré les recherches de l'agent, l'objet n'a pas été retrouvé. Le problème reste non résolu.",0.1639,0.7124,0.5484
85,Demande de remboursement d'une carte navigo à cause d'une jambe cassée. Proposition de suspension de passe seulement en agence. Communication de l'adresse et du numéro de téléphone pour le remboursement.,Un client blessé cherche un remboursement pour son abonnement Navigo inutilisé. L'agent l'oriente vers le service de gestion de la carte Intégrale.,0.1639,0.712,0.5481
188,"ligne Rer B est-elle fermée, non, peu de trains, comment faire Arcueil-Gare du Nord, itinéraire par bus, précisions sur grève","Un client s'inquiète de l'impact d'une grève sur son trajet et son abonnement RER, l'agent propose des alternatives mais ne peut confirmer la reprise du service.",0.1034,0.6516,0.5481
136,"réclamation sur les incohérences dans l'information sur la grève RER B, conversation dégénérant en monologue puis insultes",Une utilisatrice du RER B exprime son mécontentement face aux retards causés par les grèves et le manque d'informations. L'agent n'apporte pas de solution satisfaisante.,0.1455,0.6929,0.5475
180,Demande de renseignements sur le temps de trajet sur la ligne 65 à une heure donnée étant donné qu'il y a des travaux. Aucun problème lié au travaux. Proposition d'un autre itinéraire en métro.,"Un client s'inquiète du temps de trajet en bus d'Aubervilliers à Saint-Claude en raison de travaux. Après discussion, il décide de partir plus tôt.",0.1449,0.6919,0.5469
137,"itinéraire Gare du Nord vers Drancy, prendre le RER B car sur cette direction pas de souci, et remarque sur la manière dont l'appelante précédente a compris la réponse du conseiller",Un client confus sur l'interconnexion du RER B pour se rendre à Drancy est rassuré qu'il peut voyager directement depuis Bourg-la-Reine.,0.1639,0.7106,0.5467
156,"Carte ImaginR oubliée à un guichet. Contact avec le guichet concerné. Carte retrouvée, à récupérer.",Un client a perdu sa carte Imagine+R à l'arrêt de métro Richelieu-Drouot. L'agent a confirmé sa récupération et conseillé au client de se présenter avec une pièce d'identité.,0.1455,0.6916,0.5461
176,"La cliente demande s'il y a des trains sur le RER B en raison des grêves. L'agent répond qu'il y a huit trains sur la ligne. Ensuite, la cliente demande comment aller d'Arcueil Laplace à  Gare du Nord le lendemain matin. L'agent répond qu'il faut prendre le bus 57 direction Porte Bagnolet jusqu'à  Place d'Italie, puis la ligne 5 direction Bobigny jusqu'à  Gare du Nord. Enfin, la cliente se plein des grêves.","Un client s'inquiète de l'impact d'une grève sur son trajet et son abonnement RER, l'agent propose des alternatives mais ne peut confirmer la reprise du service.",0.1404,0.6862,0.5459
94,"demande de remboursement d'une amende pour non possession du titre de transport dans le métro car l'appelant l'avait oublié, indication que c'est à titre exceptionnel et au cas par cas, ainsi que l'adresse et les documents à y envoyer",Un client cherche à se faire rembourser une amende reçue malgré son abonnement valide. L'agent lui donne les instructions pour une demande de remboursement.,0.1471,0.6926,0.5455
8,Demande de renseignement sur l'éligibilité aux tarifs préférentiels pour la famille d'un travailleur RATP.,"Une femme se renseigne sur les réductions de transport liées à l'emploi de son mari à la RATP. L'agent confirme la possibilité, explique la procédure et les restrictions.",0.2041,0.7476,0.5436
62,"passe navigo Solidarité transport perdu dans bus 113, appel centrebus, carte retrouvée, aller la chercher avant 20 heures",Un client a perdu sa carte de transport. L'agent a localisé la carte et a informé le client qu'il peut la récupérer à un terminus de bus spécifique.,0.1176,0.6607,0.5431
90,Demande de renseignements suite à un oubli de changement de coordonnées bancaires pour un passe Navigo. Se rendre en agence pour effectuer le changement immédiatement.,"Un client a réactivé son passe Navigo avec des coordonnées bancaires obsolètes. L'agent a suggéré des solutions, le client choisit d'aller en agence.",0.2182,0.7612,0.543
9,La cliente veut se rendre au 30 rue de Reuilly et veut savoir quel métro prendre. L'agent lui dit de prendre les métros 1 ou 8. Puis la cliente veut savoir quelle sortie prendre. L'agent lui dit qu'elle peut prendre n'importe quelle sortie.,Un client demande des directions pour se rendre à une adresse spécifique à Paris. L'agent fournit des informations détaillées sur le trajet en métro.,0.1842,0.7266,0.5424
138,"pour vérifier qu'une carte d'agent retraité est encore valable, suite à réception de la nouvelle carte de transport accompagnée de l'instruction de demander son renouvellement par écrit en cas de changement",Une femme âgée appelle pour comprendre le renouvellement de sa carte de transport RATP. L'agent explique la différence entre la carte de transport et la carte d'agent retraité.,0.2059,0.7455,0.5396
110,Demande de renseignements suite à la procédure suivi après la réception d'un courrier d'amende. Transfert vers le service concerné.,"Une cliente conteste une amende de bus due à un problème de passe Navigo, malgré l'envoi de justificatifs. Elle est redirigée vers le service de paiement.",0.1961,0.7346,0.5385
59,"véritable état du trafic RER B, la fréquence annoncée n'étant pas constatée, pas possible d'en dire plus que sur le site, indication cependant du prochain train en temps réel en direction de Massy, mais pas possible de donner une fréquence par la suite, rappeler juste avant le train désiré pour le temps réel","Un client frustré par l'inexactitude des informations de trafic du RER B appelle pour des clarifications, mais l'agent ne peut pas résoudre le problème.",0.1319,0.6693,0.5374
103,"demande de précisions sur la tarification du métro, mais l'appelant, un particulier, est passé directement par le numéro VGC, refus du conseiller de le prendre en charge comme grand compte, indication du numéro 3246 pour qu'il rappelle",Un client appelle le mauvais service de la RATP pour des informations tarifaires. L'agent l'oriente vers le bon numéro. Problème non résolu.,0.1714,0.7076,0.5362
49,"Demande de renseignement sur l'état du trafic du RER B. Demande d'itinéraire entre Arcueil Laplace et gare du Nord sans passer par le RER. Prendre le bus 57 direction Porte de Bagnolet jusqu'à la Place d'Italie, puis la ligne 5 direction Bobigny jusqu'à la gare du Nord. Plainte de l'appelante suite aux mouvements de grèves.","Un client s'inquiète de l'impact d'une grève sur son trajet et son abonnement RER, l'agent propose des alternatives mais ne peut confirmer la reprise du service.",0.1505,0.6866,0.5361
166,"demande de précisions suite à prélèvement supérieur à la normale pour un abonnement ImaginR, indication du numéro direct à appeler","Un client a appelé pour un prélèvement incorrect sur son abonnement Imagine+R, l'agent l'a orienté vers le service concerné pour résolution.",0.1633,0.6982,0.5349
201,Demande des pièces à fournir pour l'obtention d'une carte orange.,"Un stagiaire à Paris a été informé sur les documents nécessaires pour obtenir une carte Orange, y compris une attestation d'hébergement. Problème résolu lors du premier appel.",0.186,0.7205,0.5344
155,"rappel pour une relance de paiement alors que l'amende est réglée, le CRI devait rappeler, transfert direct au CRI",Une cliente confondue par une amende majorée malgré un paiement initial contacte un centre d'appel pour clarification et exprime sa frustration sur un rappel manqué.,0.1633,0.6964,0.5332
83,Demande de renseignements sur l'existence d'un tarif spécial pour les demandeurs d'emploi. Pas de réduction chômeur. Se rendre en agence pour créer le passe immédiatement.,Un demandeur d'emploi en formation se renseigne sur un tarif de transport adapté. L'agent propose le passe Navigo Orange et explique les conditions d'obtention.,0.2333,0.7664,0.5331
74,"papiers importants et nécessaires ( ordonnance médicale ) perdus,,questions et réponse rapide , objet non retrouvé, conseil donné","Une femme âgée a appelé la RATP pour signaler un sac perdu contenant des documents médicaux importants, mais malheureusement, il n'a pas été retrouvé.",0.1304,0.6631,0.5327
16,"Demande d'informations pour les modalités d'achat pour un voyage scolaire sur Paris avec un forfait Parsi visite. Pas de réservation possible, se rendre directement en agence pour acheter les tickets.",Un groupe scolaire prévoit un voyage à Paris et l'agent RATP conseille d'acheter les tickets et cartes Paris+Visite sur place.,0.2105,0.7415,0.531
97,"l'interconnexion RER B est-elle rétablie, oui, mais selon l'appelante ce n'était pas le cas, complainte amiable sur la situation difficile générée par la grève",Un client interroge l'état de l'interconnexion du réseau B. L'agent confirme sa réparation mais ne peut expliquer les problèmes de terminus rencontrés le matin.,0.1875,0.7183,0.5308
11,Radiographies et ordonnances perdues dans le métro. Non retrouvées.,"Une femme âgée a appelé la RATP pour signaler un sac perdu contenant des documents médicaux importants, mais malheureusement, il n'a pas été retrouvé.",0.1579,0.6879,0.53
122,"aucune information, grève ,  impossible de donner un renseignement avec certitude","Un représentant du Novotel Paris les Halles demande la fréquence des RER B, mais l'agent ne peut fournir l'information, surtout pendant une grève.",0.1538,0.6823,0.5284
42,"protocole pour organiser les réservations de transport de nombreux groupes de classes sur toute l'année en achats groupés, explications et transfert au service VGC pour le prendre en charge dorénavant",Un représentant d'une association scolaire appelle pour comprendre la procédure de transport en commun pour les étudiants. L'agent propose une solution et transfère l'appel.,0.1538,0.6805,0.5266
207,"première commande grands comptes de titres de transport pour une semaine pour une cinquantaine de personnes, transfert au service concerné",Un représentant du Ministère des Affaires étrangères organise un séminaire à Paris et contacte la RATP pour obtenir des cartes de transport pour les participants.,0.1633,0.6889,0.5257
111,"passe navigo laissé à un guichet d'achat, contact de la caisse, passe retrouvé à récupérer",Un client a perdu sa carte Imagine+R à l'arrêt de métro Richelieu-Drouot. L'agent a confirmé sa récupération et conseillé au client de se présenter avec une pièce d'identité.,0.1481,0.6735,0.5254
57,"Demande de renseignements sur le remboursement d'une amende pour absence de titre de transport (oublié). Remboursement exceptionnel, communication des coordonnées du service concerné et des pièces à fournir.",Un client cherche à se faire rembourser une amende reçue malgré son abonnement valide. L'agent lui donne les instructions pour une demande de remboursement.,0.2182,0.7427,0.5245
63,Ancien retraité de la RATP souhaitant faire bénéficier sa compagne des tarifs réduits. Démarche possible avec une déclaration sur l'honneur. Indication des pièces à fournir.,Un ancien employé de la RATP obtient une réduction tarifaire pour son amie non-officielle et est dirigé vers la caisse de retraite pour des questions de pension.,0.2,0.7245,0.5245
116,"Demande de la durée de voyage entre le RER B de croix de berny et l'aéroport Charles De Gaulle. Communication des horaires en temps normal, risque de reconduite du mouvement social, rappeler plus tard pour plus d'informations.","Un client demande des informations sur un trajet en RER. L'agent fournit les détails, mentionne une grève potentielle et conseille de vérifier plus tard.",0.1739,0.6975,0.5236
181,"La cliente a payé un ticket Orlyval et voudrait être remboursée car elle estime que le service n'a pas été rendu dans le contexte des grèves. Comme le billet a été validé, l'agent lui dit de contacter le service Clientèle d'Orlyval et lui donne les coordonnées.",Une cliente mécontente demande un remboursement pour un trajet Orlyval interrompu par une grève. L'agent l'oriente vers le Service Clientèle pour réclamation.,0.2469,0.7703,0.5234
79,"Demande de dossier pour carte ImaginR. Pas d'envoi possible, dossiers disponibles dans tous les guichets.",Un client a demandé un dossier Imagine+R par courrier. L'agent a expliqué que c'est impossible mais a fourni le numéro du service pour plus d'informations.,0.1739,0.6968,0.5229
150,"pour obtenir par fax une attestation de renouvellement de la carte Intégrale, pas possible, aller en agence ou appeler le gestionnaire, indication du numéro","Un client insiste pour renouveler son contrat Navigo par téléphone, l'agent le redirige vers l'agence commerciale et le gestionnaire de carte pour assistance.",0.1887,0.7108,0.5221
46,"comptable demandant des précisions sur le zonage des cartes navigo intégrale pour la paie de son entreprise, les zones 7 et 8 sont intégrées dans la zone 6 dorénavant","Un client a besoin d'aide pour mettre à jour les tarifs de carte Intégrale dans son logiciel de paye, l'agent explique les changements de zones.",0.1967,0.7185,0.5218
175,Demande de renseignements sur la signification des zones de transport.,Un client s'est renseigné sur les zones des cartes Orange Découverte à Paris. L'agent a expliqué le système de zones et confirmé la mobilité.,0.2162,0.7359,0.5196
157,Demande d'attestation de paiement pour un passe navigo. Se rendre en agence et le demander directement.,Une jeune travailleuse perd son reçu de paiement Navigo. L'agent de la mission locale conseille d'obtenir un duplicata à une agence commerciale. Problème résolu.,0.1778,0.6955,0.5177
142,"demande d'indications pour régulariser une situation où l'abonnement Imagin'R a été prélevé alors que la carte n'était pas encore utilisable, et ce pendant plus de 3 semaines, donc indication des coordonnées d'Imagin'R pour leur écrire une réclamation, après nombreuses explications du conseiller",Un client contacte le service client pour résoudre un problème de facturation avec la carte Imagine+R de sa fille. L'agent fournit des conseils pour contacter Imagine+R directement.,0.1882,0.7028,0.5146
77,Demande de renseignements sur le rétablissement de l'interconnexion RER B. Interconnexion rétabli. Plainte de l'appelante.,Un client interroge l'état de l'interconnexion du réseau B. L'agent confirme sa réparation mais ne peut expliquer les problèmes de terminus rencontrés le matin.,0.24,0.7501,0.5101
211,Demande d'itinéraire porte de Saint-Cloud Clichy-sous-Bois. Proposition d'un itinéraire avec de nombreux changements.,"Un client cherche un itinéraire pour Clichy-sous-Bois. L'agent propose un trajet complexe incluant métro, RER, tram et bus. Le client doit encore localiser le théâtre.",0.2353,0.744,0.5087
71,Demande du nom d'un arrêt de bus pour une adresse donnée à Vitry.,"Un client cherche la station de bus la plus proche de la rue Jules Regnault à Vitry-sur-Seine, qui est Grimau-Voie Verte.",0.2105,0.7186,0.5081
125,Demande de renseignements sur le fonctionnement de la ligne 486 suite à un mouvement de grève. Communication du numéro de téléphone de la ligne concernée.,"Un client cherche des informations sur une grève de bus. L'agent ne sait pas, mais donne le numéro d'Athis Cars pour plus de détails.",0.2069,0.7146,0.5077
198,"La cliente voudrait connaître le trafic sur le RER B. Elle n'est pas du tout satisfaire puisqu'il est annoncé 3 trains sur 4, mais il y en a moins. L'agent lui propose de rappeler 15 minutes avant son départ pour savoir oà¹ se situe le prochain train qui l'intéresse.","Un client frustré par l'inexactitude des informations de trafic du RER B appelle pour des clarifications, mais l'agent ne peut pas résoudre le problème.",0.1905,0.6975,0.507
30,Demande de suspension d'abonnement navigo suite à un arrêt de travail. Communication des pièces à fournir et de l'adresse où envoyer la requête.,Un client souhaite suspendre son abonnement Navigo pour cause de maladie. L'agent explique la procédure de remboursement et suggère de tenter malgré le délai dépassé.,0.1786,0.6854,0.5068
190,"Demande d'information sur le fonctionnement courant du bus 125, prochain passage dans une dizaine de minutes.","Un client s'inquiète de l'absence du bus 125, l'agent confirme une grève mais assure qu'un bus arrivera dans dix minutes.",0.2326,0.7394,0.5068
121,"pochette d'inscription en fac peut-être perdue il y a une semaine dans le bus 38, interrogation réseau et contact dépôt, non retrouvé","Un client a signalé la perte d'un dossier d'inscription universitaire dans un bus, mais l'agent n'a pas pu le retrouver lors de l'appel.",0.1818,0.688,0.5062
34,"demande de mise en relation avec le CRI suite à la relance pour paiement d'un PV infligé à un possesseur de carte Imagin'R l'ayant oublié ce jour-là et ayant déjà envoyé un courrier avec tous les justificatifs, transfert au CRI","Un client conteste une amende de transport pour son fils, malgré une carte Imagine+R annuelle. L'appel est transféré pour résolution approfondie.",0.1765,0.6822,0.5057
153,"signalement de problèmes récurrents de régularité sur le bus 267, proposition de mise en relation avec le service clientèle de la ligne, injoignable, essai d'autres numéros plus haut placés, injoignables, proposition d'écrire à l'adresse du centre bus ainsi que de passer par le site web pour laisser un e-mail","Un client signale des problèmes d'horaires sur la ligne de bus 267, affectant les usagers. Malgré des tentatives, le problème reste non résolu.",0.1882,0.6935,0.5053
167,"Demande d'attestation d'abonnement navigo intégrale. Se rendre en agence commerciale, communication du numéro de téléphone du service concerné.","Le client demande une attestation d'abonnement pour remboursement par son employeur. L'agent propose deux solutions, le client choisit d'appeler un numéro spécifique.",0.2353,0.7398,0.5045
130,"trafic ligne B4 pour demain matin, pas encore connu après 20h, actuellement 3 trains sur 4","Un client a appelé pour connaître le trafic sur la ligne B quatre, l'agent a fourni des informations actuelles et promis des détails supplémentaires après une réunion.",0.16,0.6634,0.5034
52,Demande de renseignement sur le fonctionnement des lignes 189 et 126. Trafic normal sur ces deux lignes.,Une femme âgée s'informe sur le fonctionnement de deux lignes de bus en raison d'une possible grève. L'agent confirme leur fonctionnement normal.,0.2273,0.7306,0.5033
4,"Demande d'une attestation de renouvellement de carte navigo intégrale. Se rendre en agence ou appeler le gestionnaire carte intégrale, communication du numéro.","Un client insiste pour renouveler son contrat Navigo par téléphone, l'agent le redirige vers l'agence commerciale et le gestionnaire de carte pour assistance.",0.2264,0.7288,0.5024
183,"appel de station métro pour vérifier validité d'un passe navigo détériorié, vérification par le conseiller, le passe est valide donc le remplacer",Un agent de la station Saint-Paul signale une carte Imagine+R défectueuse. L'agent du centre d'appel confirme l'échange possible selon la procédure pour passe détérioré.,0.1967,0.6987,0.502
99,"changement de coordonnées bancaires, problème pour un navigo Intégrale, proposition passer en agence, plus rapide","Un client a réactivé son passe Navigo avec des coordonnées bancaires obsolètes. L'agent a suggéré des solutions, le client choisit d'aller en agence.",0.2128,0.714,0.5012
89,"demande de réclamation à un directeur pour traumatisme psychologique suite à la crise d'épilepsie d'un chauffeur de bus, transfert de l'appelante au centre bus concerné","Un client rapporte un incident psychologique causé par un chauffeur de bus épileptique, cherchant une résolution auprès du responsable de la ligne.",0.2745,0.7752,0.5007
75,itinéraire vers une adresse de Paris centre en partant d'un arrêt du bus 102,Un retraité de la RATP a demandé comment se rendre à la rue Taclet à Paris en bus. L'agent lui a fourni des instructions détaillées.,0.186,0.6865,0.5004
2,"pour recevoir par courrier un dossier d'abonnement ImaginR, normalement pas d'envoi, aller en guichet, mais communication numéro ImaginR",Un client a demandé un dossier Imagine+R par courrier. L'agent a expliqué que c'est impossible mais a fourni le numéro du service pour plus d'informations.,0.1961,0.6959,0.4998
199,"objet trouvé documents médicaux avec nom, pas retrouvé. agent erroné...","Un client a perdu un porte-document dans un autobus; malgré les recherches de l'agent, l'objet n'a pas été retrouvé. Le problème reste non résolu.",0.1463,0.6458,0.4994
27,"retraité Ratp souhaitant faire bénéficier sa concubine d'une réduction sur les titres de transport, contact service concerné pour savoir si c'est possible, oui, indication pièces à fournir qu'en fait l'appelant connaissait déjà ayant le formulaire",Un ancien employé de la RATP obtient une réduction tarifaire pour son amie non-officielle et est dirigé vers la caisse de retraite pour des questions de pension.,0.1667,0.6627,0.496
3,Demande d'itinéraires pour aller au 64 rue de Belleville en partant du 37 boulevard de Charonne. Prendre la ligne 2 direction Porte Dauphine et descendre à la station Couronne.,"Un client a demandé des directions pour se rendre à Paris, l'agent a suggéré la ligne 2 du métro, résolvant l'appel.",0.1818,0.6773,0.4954
61,"Demande d'information sur l'état du trafic sur la ligne B 4. Communication de l'état actuel, mais impossible de donner l'état futur du trafic.","Un client a appelé pour connaître le trafic sur la ligne B quatre, l'agent a fourni des informations actuelles et promis des détails supplémentaires après une réunion.",0.2333,0.7278,0.4945
102,"possibilité suspendre ou rembourser abonnement navigo suite à arrêt de travail, indication conditions, le faire suspendre en agence et indication justificatifs et adresse où les envoyer",Un client souhaite suspendre son abonnement Navigo pour cause de maladie. L'agent explique la procédure de remboursement et suggère de tenter malgré le délai dépassé.,0.1786,0.6711,0.4925
208,"La cliente veut joindre le centre de recouvrement. Elle ne comprend pas pourquoi elle a reçu une relance pour un PV que son fils a eu, alors qu'elle a déjà  prouvé au centre de paiement que son fils a la carte Imagin'R à  l'année.","Un client conteste une amende de transport pour son fils, malgré une carte Imagine+R annuelle. L'appel est transféré pour résolution approfondie.",0.2432,0.7349,0.4917
196,Demande d'itinéraire entre Denfert-Rochereau et rue d'Assas. Proposition et précision pour rejoindre la destination souhaitée.,Un agent guide un client de Denfert-Rochereau à la rue d'Assas à Paris en utilisant le bus 68 et donne des instructions de marche détaillées.,0.25,0.7403,0.4903
160,"gant perdu dans le bus 289, non retrouvé",Un client a signalé la perte d'un gant dans un bus. L'agent n'a pas trouvé le gant dans les objets trouvés. Le client a accepté la situation.,0.1538,0.6429,0.4891
132,"bénéficiaire de la carte Solidarité transports désirant donc résilier son abonnement à la carte Intégrale, se rendre en agence commerciale","Un client a appelé pour résilier sa carte Navigo Intégrale, l'agent l'a guidé à travers le processus et a résolu son problème.",0.1961,0.6838,0.4877
123,"Demande d'itinéraire Estienne d'orves Orly pour une heure donnée. Etude de différents itinéraires via bus, metro, car AirFrance.",Un client cherche le meilleur itinéraire pour aller à l'aéroport d'Orly depuis Clamart. L'agent propose une solution simple et satisfaisante.,0.2083,0.6954,0.4871
38,"résilier ou suspendre un navigo annuel suite à accident limitant déplacements, aller en agence, indication numéro du service gestion et justificatifs à fournir",Un client blessé cherche un remboursement pour son abonnement Navigo inutilisé. L'agent l'oriente vers le service de gestion de la carte Intégrale.,0.1633,0.6494,0.4862
25,Demande d'itinéraire entre Boulevard Verdun et la rue Victor Musso à Fontenay-sous-Bois.,"L'agent aide le client à trouver l'itinéraire de bus approprié à Fontenay-sous-Bois, résolvant les problèmes d'orientation et de localisation.",0.25,0.7358,0.4858
185,"Demande de renseignement sur le temps d'attente pour le bus 325 à Bibliothèque F.Mitterand. Trafic très perturbé, patienter encore au minimum 15 minutes.","Un client appelle pour s'informer sur le retard du bus 325, l'agent confirme le retard dû à un trafic perturbé et un nombre limité de bus.",0.2264,0.7121,0.4857
129,Demande d'information sur la reconduction de la grève sur le RER B. Aucune information disponible.,"Un client frustré par la grève du RER B demande des informations et un éventuel remboursement, mais l'agent ne peut fournir de détails précis.",0.2667,0.7518,0.4852
