id,references,prediction,Average_ROUGE,Average_BERTScore,Difference
182,"['#Person2# tells #Person1# about the fundamental concepts of the accounting process.', '#Person1# and #Person2# talk about the accounting process.', '#Person1# and #Person2# are talking about the most fundamental concepts underlying the accounting process.']","#Person2# lacks experience in American-style accounting but understands basic accounting concepts like entity, going concern, and objectivity.",0.1389,0.8855,0.7465
144,"[""#Person1# suggests going to John's house, but #Person2# feels sick and decides to go to sleep."", ""#Person2# prefers to stay at home and rest rather than go over to John's house tonight because #Person2# gets sick."", ""#Person2# doesn't want to go to John's house tonight because of getting sick. #Person2# decides to go to sleep.""]",#Person2# declines visit and soup offer from #Person1# due to illness and fatigue from work.,0.1551,0.9015,0.7464
403,"['#Person1# has been washing dishes for over a week and #Person2# will do the dishes next week.', ""#Person1# has been washing dishes for over a week and #Person2# agrees to take #Person2#'s turn to wash next week."", '#Person2# will do the agreement made with #Person1# on taking turns washing the dishes.']","#Person1# complains about dishwashing duties, #Person2# agrees to take over after being reminded of their agreement.",0.1749,0.9204,0.7455
352,"['#Person1# keeps asking what the paper says. #Person2# asks #Person1# to read the paper.', '#Person1# asks #Person2# what the paper says. #Person2# asks #Person1# to read the paper.', ""#Person2# is tired of #Person1#'s questions about the paper. #Person2# asks #Person1# to read the paper.""]","#Person1# and #Person2# discuss news, weather, a mistaken arrest, and sports scores.",0.1485,0.8905,0.7419
87,"[""Ms. Ross and Mr. Fisher are having a coffee chat face to face. They talk about their career, child, life, and then get down to business. Ms. Ross will provide service for a presentation on Saturday 24 October in the morning held by Mr. Fisher. They are discussing the preparations as time, food, furniture, guest numbers. A problem is Mr. Fisher sent out 100 invitations but the room's capacity is only about 50."", ""Ms. Ross helps Mr. Fisher make arrangements for a presentation. Mr. Fisher decides to serve a pre-lunch snack buffet and designs the room setting. Mr. Fisher isn't sure about how many people to come and Ms. Ross is worried that there might be too many people because the room is small."", ""Ms. Ross and Mr. Fisher start the conversation with greetings. Then they discuss the preparation for a presentation. Ms. Ross confirms the details of the presentation, including schedule, food service. Ms. Ross is concerned that Mr. Fisher's sent too many invitations than the room capacity.""]","Fisher and Ross discuss an upcoming presentation, planning logistics, catering, and room capacity, leaving final attendee count unresolved.",0.1331,0.8747,0.7416
396,"[""#Person2#, chairman of the conference, isn't wearing required suits at #Person1#'s restaurant. #Person1#'ll puts off the conference so that #Person2# can change clothes."", '#Person2# needs to change clothes to enter the conference and #Person1# offers #Person2# the convenience by putting the conference off.', '#Person2# has to return to the hotel and wear a jacket and a tie. #Person1# helps put off the conference.']","Conference delayed due to unexpected dress code, chairman needs to fetch appropriate attire; restaurant staff accommodating.",0.1058,0.8462,0.7404
122,"[""#Person2# had been in the charity organization for 2 months. Social activities had a direct impact on #Person2#'s way of thinking."", ""#Person2# had been in the charity organization for 2 months and the social activities influenced #Person2#'s way of thinking."", ""#Person2# had been in the charity organization for 2 months. Social activities influenced #Person2#'s way of thinking.""]","#Person2# shares their enlightening two-month charity experience, which positively influenced their perspective and demeanor.",0.1538,0.8926,0.7388
247,"['#Person1# complains to Tony that Christmas has made #Person1# busier.', ""#Person1# works as a toy salesperson and feels so tired recently because Christmas is coming, and everyone's shopping for presents."", '#Person1# thinks selling gifts for kids is such an unpleasant job before Christmas.']","#Person1#, a toy department worker, shares holiday stress and exhaustion with sympathetic friend, Tony.",0.1564,0.8947,0.7383
33,"['#Person1# and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.', ""#Person1# and Mike have a disagreement on how to act out a scene. #Person1# proposes that Mike can try to act in #Person1#'s way."", '#Person1# wants Mike to act more angry, but Mike thinks he should act both angry and sad.']",Director and actor disagree on character's emotional response to a breakup during film shooting.,0.1245,0.8591,0.7346
49,"['#Person1# and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.', ""#Person1# and Mike have a disagreement on how to act out a scene. #Person1# proposes that Mike can try to act in #Person1#'s way."", '#Person1# wants Mike to act more angry, but Mike thinks he should act both angry and sad.']",Director and actor disagree on character's emotional response to a breakup during film shooting.,0.1245,0.8591,0.7346
132,"[""Rocky doesn't want to dance because no one at the party fits his type, but #Person1# likes different kinds of women from him. Finally, Rocky decides to go home to a TV dinner and his dog, Rusty"", ""Rocky wants a woman who's affectionate and fulfills his every need. #Person1# likes different kinds of women from him. Rocky doesn't mind and plans to go home and spend the night with a TV dinner and his dog, Rusty."", ""Rocky has particular requirements and cannot find a suitable woman in the party, so he doesn't want to dance. #Person1# likes different kinds of women from him. He sticks with his views and decides to go home to a TV dinner and his dog, Rusty.""]","#Person1# and Rocky disagree over ideal women's traits; Rocky prefers traditional women, while #Person1# criticizes his outdated views.",0.1323,0.8658,0.7336
92,"['#Person1# hates those who keep smiling at #Person1# and #Person2# is fed up with those who keep a straight face in front of #Person2#.', '#Person2# is fed up with people with a straight face, and #Person1# hates people keeping smiling to #Person1#.', '#Person1# and #Person2# hold different opinions towards people with different facial expressions.']",Two individuals debate the appropriateness and context of smiling in social situations.,0.1093,0.8404,0.7312
82,"[""#Person2# wants to change her room because the baggage elevator is too noisy. #Person1# is sorry and tells her #Person1# will manage it when there's a spare room."", ""#Person2# wants to change a room because it's too noisy, but #Person1# tells #Person2# there are no rooms left so #Person2# has to wait till tomorrow."", '#Person2# cannot stand the noise near her room and #Person1# promises to change her room tomorrow as there is no room available today.']","#Person2# requests room change due to noise, #Person1# promises resolution following tour group's departure.",0.1784,0.9072,0.7288
398,"['#Person2# asks his daughter about college admission requirements because he wants to take some classes in computer programming.', '#Person2# asks his daughter about admission requirements of college, becasue he wants to learn computer programming.', '#Person2# wants to know admission requirement of college, because he is thinking of learning computer programming.']","#Person2# reveals plans to quit job and start programming business, receiving support and potential assistance from his computer major daughter.",0.1637,0.8908,0.7271
165,"['Mr. Blake explains the training manuals cannot be sent today because they are still being copied.', '#Person1# is transferring the message between Mr. Blake and Mr. Foster about the training manuals.', ""Mr. Foster wants the training manuals to be sent this afternoon but Mr. Blake explains that they haven't been printed out yet.""]",#Person2# promises to deliver training manuals to Mr. Foster's office the next afternoon due to printing delays.,0.1811,0.9081,0.727
219,"['#Person1# stops #Person2# from taking photos in the museum.', ""#Person2# breaks the museum's rule of non-taking pictures."", '#Person1# asks #Person2# not to take pictures and takes his phone temporarily']",#Person2#'s camera film is confiscated for unauthorized museum photography; they're directed to a souvenir shop for slides and postcards.,0.1481,0.8739,0.7259
91,"['#Person1# wants to rent an economy car from #Person2# for $19 a day or $129 a week.', '#Person1# rents a car from #Person2#', ""#Person1# rents an economy car in #Person2#'s shop.""]","#Person1# inquires about car rental rates, shows interest, provides license, and completes form to finalize rental process.",0.1485,0.874,0.7256
382,"[""Detective Chief Superintendent John Day is trying to figure out the murdered man's movements in the short gap between he left the club and got murdered, but he only has three witnesses and hasn't been able to identify more."", ""John Day describes known details of a murder case which happened in a pedestrian subway at midnight and answers #Person1#'s questions to tell what he know about the case. But he hasn't be able to identify more, even he knows three witnesses."", ""John Day is telling #Person1# what they've known of the dead man's movements in the early hours of the morning, and there may be three witnesses, two girls and a man, but he hasn't been able to identify more.""]","North London police investigate murder of unidentified man found in Neasden subway, last seen leaving local club.",0.1127,0.8378,0.7251
238,"[""#Person2# has problems using training machines to build #Person2#'s body. #Person1# explains it and shows #Person2#."", '#Person1# teaches #Person2# how to use the training machine and suggests starting working small reps if #Person2# wants a good physique.', ""#Person1# teaches #Person2#, a newbie, to use a machine. #Person2# doesn't want to be ripped and thus works with less weight than #Person1#.""]","Experienced gym-goer helps newcomer with workout machine, suggesting a routine for physique improvement and emphasizing the importance of stretching.",0.1314,0.8555,0.7241
28,"['#Person1# wants to withdraw money from an ATM, but the ATM automatically transfers 10000 USD to the World Wildlife Foundation after confirming the withdrawal option. #Person1# gets mad and somehow locked in.', ""#Person1# run out of money because of a girl, and is withdrawing money from an ATM. But the ATM seems to go wrong and transfers #Person1#'s money to the World Wildlife Foundation, driving #Person1# crazy."", ""#Person1# is withdrawing money from an ATM. But the ATM wrongly transfers #Person1#'s money to the World Wildlife Foundation. It drives #Person1# crazy.""]","#Person1# mistakenly transfers $10,000 to charity at an ATM, causing distress and triggering a security lockdown.",0.1671,0.889,0.7219
43,"['#Person2# feels bored with the meeting. #Person1# gives #Person2# some suggestions on how to entertain but finally asks #Person2# to keep quiet.', '#Person1#, a reporter, takes #Person2# to a forum. #Person2# is bored and tries to find a pastime.', '#Person2# tells #Person1# that #Person2# is bored and explains the reasons, so #Person1# suggests #Person2# read some old newspapers and be quiet.']","At an event, #Person1#, a Daily News employee, tries to keep bored #Person2# entertained quietly so they can focus on work.",0.1632,0.8847,0.7215
428,"['#Person1# and #Person2# are looking for work and will think about the electrician apprentice program.', '#Person1# and #Person2# both get laid off and they want to find a job.', '#Person1# and #Person2# talk about their interviews after a lay-off and think about the electrician apprentice program.']","Two unemployed friends discuss job opportunities, considering an electrician apprentice program amid financial pressures.",0.1553,0.8751,0.7199
119,"['#Person1# and #Person2# are both unemployed. #Person2# suggests applying for the electrician program and #Person1# agrees.', 'Both #Person1# and #Person2# lost their jobs. They would like to apply for the electrician program.', '#Person1# and #Person2# plan to apply for the electrician program after they were laid off.']",Two unemployed individuals discuss joining an electrician program as a potential job opportunity.,0.1626,0.8822,0.7196
138,"['#Person2# lets #Person1# hold the ladder and #Person2# will put the curtain up.', '#Person2# suggests that #Person1# hold the ladder and #Person2# will put the curtain up.', '#Person2# lets #Person1# hold the ladder and #Person2# will put the curtain up.']","#Person1# seeks #Person2#'s help to hang a curtain, #Person2# agrees and they successfully complete the task.",0.1978,0.9173,0.7195
186,"[""Planes won't take off tonight and #Person2# tells #Person1# that they've arranged rooms for passengers."", '#Person2# apologizes to #Person1# for the flight delay and arranges rooms for every passenger.', '#Person2# tells #Person1# that #Person1# may have to stay in the airport hotel tonight because the planes are delayed.']","Flight cancelled, passengers accommodated in hotel; two women uncomfortable with shared room due to need for sleep lights.",0.1366,0.8539,0.7173
59,"['#Person1# and #Person2# are at a nice party. #Person2# has a crush on Janice but is afraid of talking to her. #Person1# wishes #Person2# good luck.', '#Person1# and #Person2# talk about girls at a party and #Person2# tells #Person1# that #Person2# likes Janice but he feels nervous talking to girls. #Person1# encourages #Person2#.', '#Person1# and #Person2# are at an exciting party. #Person2# has a crush on Janice and #Person1# encourages him to have a try to talk to her.']","#Person2#, encouraged by #Person1#, overcomes his nervousness to approach his interest, Janice, at a party.",0.1936,0.9101,0.7166
71,"['#Person1# is asking Rebecca about her working experience. She worked for York Herald as an intern and then as a junior local news reporter. After that, she began to work for London Weekly.', 'Rebecca tells #Person1# about her working experiences. Rebecca first worked for the York Herald after her graduation, and then for the London Weekly.', '#Person1# interviews Rebecca and asks her about her previous working experiences.']","Rebecca progressed from an intern to a sports reporter in York, before moving to a national newspaper in London.",0.1596,0.8762,0.7166
485,"[""#Person1# and #Person2# ask about each other's recent situation."", '#Person1# asks about the things that took up #Person2#.', '#Person1# is busy while #Person2# is flexible.']",#Person1# and #Person2# discuss their busy lives and agree to talk again later.,0.2142,0.9295,0.7152
460,"['#Person1# asks #Person2# to teach #Person1# how to use the bath.', '#Person1# calls #Person2# for getting to know how to use buttons and switches so #Person1# can take a bath.', '#Person1# has trouble with the bath. #Person2# teaches #Person1# how to use it.']","#Person1# struggles with bath controls, finds instructions unclear, and asks for #Person2#'s direct help, which is granted.",0.191,0.9059,0.7148
198,"[""#Person2# tells #Person1# about #Person2#'s changes and improvements after working in the same company for six years. #Person2# didn't have much chance to travel."", ""#Person1# has been working for a company for six years, and #Person2# thinks #Person2#'s ready for promotion."", '#Person2# has worked for a company for 6 years. With much experience and new skills, #Person2# tells #Person1# that #Person2# is ready for a promotion.']","#Person2# discusses mixed feelings about six-year job tenure, citing age, long hours, potential promotion, and family responsibilities.",0.1627,0.8771,0.7144
282,"['#Person2# thinks the function of movie theatres should be updated.', '#Person2# thinks the movie industry should be revolutionized to survive the threat from DVD industry.', '#Person1# and #Person2# talk about the possible destiny of movie theatre.']",#Person1# questions if home video players could replace cinemas; #Person2# suggests theatres should evolve into social hubs.,0.1872,0.9014,0.7142
484,"[""Nick asks Alice how to use washing machines and dryers. Alice teaches him and she's surprised to find that he never washed clothes before. Nick tells her he is from Taiwan, where the mother does everything for the kids. Alice will help Nick to learn how to live on his own."", ""Nick is new here and he has never done washing himself. So he asks a girl called Alice for help. Alice's surprised but still teaches him how to use the machines. Nick tells her his mother used to do everything for him."", ""Nick has never used washing machines before, and he turns to a girl for help. Nick appreciates Alice's help and tells her his mother used to do washing for him. Alice will help him be more independent.""]","Alice helps Taiwanese teenager, Nick, learn to use a laundromat due to his unfamiliarity with household chores.",0.162,0.8757,0.7137
89,"['#Person2# thought to travel to the Caribbean Sea. #Person1# went there last year and thinks the weather can sometimes be really bad.', '#Person2# wanted to travel to the Caribbean Sea and but is worried about the storms.', ""#Person2# hasn't decided to go to the Caribbean Sea on vacation because #Person2# is concerned about the storms there.""]","#Person1# warns #Person2# about Caribbean storms during vacation planning, but #Person2# remains undeterred.",0.1903,0.9023,0.712
169,"[""#Person1# and #Person2# talk about a programme about Muslims' pilgrimage to Mecca and the accidents. They find such pilgrimage is also common in many faiths but #Person2# doesn't believe it."", ""#Person2# introduces a programme about Islam's pilgrimage to #Person1#. They talk about the pilgrimage in other faiths and countries as well as. #Person2# doesn't think the place where people go to get healed is magical."", ""#Person2# is watching a programme about Islam's pilgrimage to Mecca. #Person1# has heard that there are often accidents happen during this pilgrimage. They also talk about pilgrimage in other countries.""]","#Person1# and #Person2# discuss Islamic and Christian pilgrimages, focusing on Hajj, Canterbury, Vatican, and Lourdes, and the risks and beliefs involved.",0.1729,0.884,0.7111
214,"[""Lisa found out Mark had been cheating on her and decided to divorce him if he wouldn't tell the truth. #Person1# agrees with Lisa."", 'Lisa found that her husband was cheating on her. She asked him to tell her the truth or end the relationship that she would divorce him. #Person1# agrees with what she did.', 'Lisa has found her husband cheating on her. Her husband first denied and then only admitted to a small indiscretion. #Person1# supports Lisa to seek the truth.']","Lisa discovers husband Mark's infidelity, threatens divorce; #Person1# supports her decision.",0.2011,0.9116,0.7105
123,"[""#Person1#'s organization will make a decision in about one week and contact #Person2# via phone or e-mail."", '#Person1# can inform #Person2# by phone or e-mail when the organization makes a decision in about one week.', ""#Person1# can tell #Person2# their organization's decision by phone or e-mail in about one week.""]","#Person1# and #Person2# discuss contact methods, decision timelines, and plan a future meeting.",0.1917,0.9021,0.7104
242,"['#Person2# has known a girl from Thailand on the internet and will spend the winter vacation with her. #Person1# is surprised.', ""#Person1# is surprised that #Person2# has a girlfriend in Thailand. They've known each other over the Internet for a few months."", '#Person2# has a girlfriend in Thailand. They know each other on the Internet but never meet. #Person1# is surprised but congratulates #Person2#.']","#Person2# plans to meet his online girlfriend in Thailand and propose, attributing their fast-paced relationship to online interactions.",0.1801,0.8903,0.7103
440,"['#Person1# is not ready for marriage. #Person2# reminds him of what he said a month ago and what will happen if he leaves Amy. After listening to #Person2#, #Person1# is ready for marriage.', '#Person1# feels anxious about future marriage and sweats a lot. #Person2# helps #Person1# to think through the current situation and get ready for the marriage.', '#Person1# is freaking out before his marriage with Amy and #Person2# helps him get over it by helping him think through all the details.']","#Person1#, fearing marriage, is reassured by #Person2# and decides to proceed with his wedding to Amy.",0.1997,0.9095,0.7098
177,"[""#Person1# requests to take a picture of #Person1# to show #Person1#'s children."", ""#Person1# takes a picture of #Person2# who's a policeman to show #Person1#'s children."", ""#Person1# wants to take a photo of #Person2# to show #Person1#'s children how an American policeman looks likes.""]","#Person1# quickly photographed an American policeman, #Person2#, for his children after receiving permission.",0.206,0.9154,0.7093
240,"[""Emily's never done paycheck in the States before, so she asks Susan questions about it. Susan explains what the number and terms on the paycheck mean. Emily thanks Susan for her help."", 'Emily is asking Susan some questions about her paycheck. Susan tells her that there are two separate income taxes-federal deductions, helping people out after they retire or if they were unable to workand, and state deductions, paying into an unemployment and disability fund that the state has set up.', ""Emily has her first paycheck in the States and there are a few things she doesn't understand. Susan explains the federal and state deductions to her. Emily thinks it might be the same in the UK but she just never paid much attention before.""]","Susan explains to Emily, a new US employee, about various paycheck deductions including federal and state taxes, and health insurance.",0.1683,0.8771,0.7088
68,"['#Person1# wants to lose weight. #Person2# suggests #Person1# take an exercise class to exercise more.', '#Person2# offers #Person1# some suggestions to lose weight.', '#Person2# gives #Person1# some suggestions on how to lose weight.']",#Person1# worries about weight gain from overeating and inactivity; #Person2# recommends diet and exercise.,0.2081,0.9168,0.7087
85,"['#Person2# finds that the computer has stopped running. #Person1# suggests #Person2# ring up the repairmen.', ""#Person1# advises #Person2# to call the repairmen to fix #Person2#'s computer."", ""#Person2#'s computer breaks down and #Person1# suggests ringing up the repairman.""]",#Person1# advises #Person2# to seek professional help for their persisting computer issues to meet a report deadline.,0.2026,0.9104,0.7079
340,"[""#Person1# shows Jack a picture of #Person1#'s new puppy."", ""#Person1# shows Jack a picture of #Person1#'s new puppy."", '#Person1# is showing a picture of a puppy to Jack.']","#Person1# shares their excitement about their new puppy with #Person2#, who shows interest in the pet.",0.2051,0.9129,0.7078
215,"['The doctor suggested #Person2# clean up the diet.', ""#Person2# will be on a diet for #Person2#'s health."", ""#Person1# agrees with #Person2#'s doctor that #Person2# should diet.""]","#Person2#'s doctor diagnosed overeating, advised less red meat. #Person1# supported the dietary change.",0.1995,0.907,0.7075
191,"[""#Person2# asks #Person1# to bring #Person1#'s husband to talk about #Person1#'s test results."", ""#Person2# schedules an appointment with #Person1# and #Person1#'s husband. #Person1# is nervous to know the test results."", ""#Person2# wants to schedule an appointment with #Person1# and #Person1#'s husband to talk about #Person1#'s test results.""]","#Person1# anxiously discusses unclear test results with #Person2#, who schedules an in-person meeting for further clarification and support.",0.2011,0.9082,0.7072
332,"['Sally is reading a letter from Tom to #Person1#. Tom invites the new couple to visit him.', 'Sally reads the letter from Tom to #Person1#. The letter invites them to visit Tom.', 'Tom writes to Sally and John and asks them to call him when they arrive in town.']","Tom eagerly anticipates #Person1# and Sally's visit, offering to pick them up and arrange dinner.
",0.1857,0.893,0.7072
167,"['#Person1# is taking off to restart a business. #Person1# expresses appreciation to #Person2# and asks #Person2# to take care of Pamela.', ""#Person1#'s flight is about to take off but #Person1# is waiting for Pamela. #Person1# thanks #Person2# for their friendship and asks #Person2# to take care of Pamela."", ""#Person1#'s flight is going to take off. #Person1# thanks #Person2# and asks to take care of Pamela when #Person1# is away.""]","#Person1# entrusts vulnerable Pamela to #Person2# before boarding a flight, appreciating their support after his bankruptcy.",0.1853,0.8923,0.707
195,"['#Person1# is a tourist from America and has a chat with #Person2#.', '#Person1# joins #Person2# and they chat about their cities. #Person1# tells #Person2# that #Person1# comes here for tourism.', '#Person1# is an American and comes here for tourism. #Person2# treats #Person1# a drink.']",American tourist in Los Angeles enjoys city's beauty and extends stay.,0.1291,0.8359,0.7069
310,"[""#Person2# thought Daniel's favorite course would be PE, but actually he likes science most."", 'Daniel is interested in science because he can learn more about the world through it.', ""#Person2# is surprised that Daniel's favorite course is science and he is interested in it.""]","Daniel surprises #Person2# by favoring science over PE, refuting his 'naughty' image and showing academic interest.",0.1694,0.874,0.7046
409,"['The high price of a two-for-one happy hour special shocks #Person1#.', '#Person1# orders drinks and food but finds them expensive.', ""#Person1# orders some food at #Person2#'s but finds the price is higher than expected.""]","#Person1# orders beer and appetizers, surprised by the $80 total cost.",0.2047,0.9089,0.7042
6,"[""#Person2# feels itchy. #Person1# doubts it is chicken pox and asks #Person2# to get away. #Person2# doesn't believe it."", '#Person1# suspects that #Person2# has chicken pox and wants to keep away from #Person2#. #Person2# thinks #Person1# is exaggerating.', '#Person1# thinks #Person2# has chicken pox and warns #Person2# about the possible hazards but #Person2# thinks it will be fine.']","#Person1# suspects #Person2# has chickenpox due to their symptoms, causing panic due to #Person1#'s lack of immunity.",0.2134,0.9174,0.704
413,"['#Person2# is holding everyone up, because #Person2# is standing back from the door and asking #Person1# whether this is the right bus to take.', '#Person2# keeps asking #Person1# the bus route while #Person1# is busy managing the space for other passengers.', '#Person2# asks #Person1# about the right bus to the places, but #Person1# wants #Person2# to move and let the passengers off.']","Bus driver instructs passengers, clarifies fare and route, and advises passenger to remember their stop.",0.1522,0.8559,0.7036
469,"['Harry tells #Person2# that the bag was overpriced in a street market. #Person2# suggests that Harry should bargain with the seller and consult the price tags in the supermarket first.', '#Person2# suggests Harry consult the price tags in the supermarket first and then negotiate for a fair deal after Harry bought a bag overpriced and got a terrible feeling.', ""Harry is mad because he bought a bag overpriced at a street market in China. #Person2# says it's common and people should know the real worth and then negotiate for a fair deal.""]",Harry feels overcharged at a Chinese market; advised to learn local bargaining practices and item values to avoid future issues.,0.1692,0.8723,0.7031
418,"['#Person1# will meet Jane next Monday afternoon around three to kick around some ideas.', '#Person1# makes an appointment with Jane on next Monday afternoon around three to kick around some ideas.', '#Person1# makes an appointment with Jane before their meeting.']",#Person1# and Jane schedule a pre-meeting discussion for the following Monday at 3pm.,0.2229,0.9242,0.7013
354,"['#Person1# suggests having beers after dinner. Jim refuses. They decide to go to the gym to meet their friends.', '#Person1# feels bored at home and asks Jim go for a beer. Jim refuses and suggests going to the gym and meeting friends.', 'Jim suggests #Person1# go to the gym to meet friends instead of drinking beers after dinner.']",Jim and #Person1# opt for gym and dancing over beers for a healthier socializing alternative.,0.1954,0.8966,0.7012
168,"['#Person2# tells #Person1# how to get to the seventy seventh.', '#Person2# shows #Person1# the way to the seventy seventh.', '#Person2# tells #Person1# #Person1# can take Bus No. 12 to the seventy seventh.']","Visitor seeks directions to busy street, local suggests bus due to visitor's fatigue.",0.1339,0.835,0.7011
446,"[""#Person1# and #Person2# decide to go to Carrots where can meet everyone's requirements with others tomorrow evening."", ""#Person1# and #Person2# discuss the restaurant to eat with friends and find that the suitable restaurant isn't open today, so they decided to go tomorrow evening instead."", ""To better cater to more people's taste, #Person1# and #Person2# discuss which restaurant they should go to.""]",Group struggles to agree on a restaurant due to individual dietary preferences and scheduling conflicts.,0.1475,0.8473,0.6998
357,"[""#Person1# confirms Jack's reservation for a double for three nights. Jack checks in."", ""Jack checks in at #Person1#'s hotel."", 'Jack has a hotel reservation and #Person1# helps him check in.']",Hotel staff confirms #Person2#'s three-night double room reservation and asks for form completion.,0.1992,0.8985,0.6993
63,"['Adam is showing #Person1# around his school. #Person1# envies Adam and hoped #Person1# could enter this school one day.', 'Adam shows #Person1# around his school and introduces the library, the new classroom building, and the swimming pool.', 'Adam shows #Person1# around the school and introduces buildings and facilities in the school to #Person1#.']","#Person1# explores #Person2#'s school virtually, admiring its facilities and expressing a desire to attend, which #Person2# encourages.",0.188,0.8869,0.6988
