id,references,prediction,Average_ROUGE,Average_BERTScore,Difference
178,"['The hotel is fully booked and #Person1# offers #Person2# the information about hotels nearby.', ""#Person1#'s hotel is full and #Person1# recommends #Person2# another hotel."", ""#Person1# recommends #Person2# going to the Sunset Hotel to find vacant rooms as #Person1#'s hotel is full.""]","Person 2 inquires about room availability, but Person 1 suggests trying Sunset Hotel instead.",0.116,0.8754,0.7594
434,"[""Andrew is on the diet according to a junk mail. His elder sister thinks he's scammed and hopes he could listen to her. She suggests he do exercises, eat smaller portions, eat well-balanced breakfast and follow up with smaller meals throughout the day, never eat late at night, throw away ice-cream, cut out the fast food, eat a lot of fresh fruits and vegetables, cut way back on sugar and drink water instead of sugary drinks. Andrew feels this is going to be tough."", ""#Person1# is surprised to see Andrew put on so much weight but Andrew tells #Person1# that to lose weight, he signs up for a Wafu Diet online for $490. #Person1# thinks he's getting scammed and suggests that he should take more exercise, eat smaller portions, eat a well-balanced breakfast, cut off fast food and sugar and eat fresh fruits and vegetables"", ""Andrew's elder sister is surprised by Andrew's putting on so much weight and figures out Andrew has probably got scammed by a junk mail. She offers Andrew systematic suggestions on living healthy and losing weight.""]","A sister advises her overweight brother on healthy eating and exercise habits, criticizing his expensive diet plan.",0.1064,0.863,0.7565
194,"[""#Person1# tells Linda that #Person1# cannot find #Person1#'s cellphone anywhere and they need to go to the wedding. #Person1# remembers it was left in the barkery."", ""Linda and #Person1# fail to find #Person1#'s phone because it was left in the bakery, but they are in a hurry to the wedding."", ""#Person1# and Linda are going to the wedding in 15 minutes, but #Person1#'s cellphone was left in the bakery. #Person2# will call the bakery.""]","#Person1# misplaced their phone, possibly at a bakery, causing potential issues for communication at an upcoming wedding.",0.1255,0.8798,0.7543
180,"['#Person2# thinks #Person2# and Anne had a good time and invites her out again, but Anne refuses it.', ""#Person2# asks Anne out for a drink tomorrow but Anne didn't enjoy the date with #Person2# last time and refuses #Person2#'s invitation."", ""Anne didn't enjoy the date with #Person2# last time, she rejects #Person2#'s invitation firmly.""]","#Person1#, Anne, tells #Person2# she doesn't want to see them again, despite their pleas for a second chance.",0.1397,0.8932,0.7535
380,"[""#Person2# talks about #Person2#'s hobby of collecting stamps. And they all agree that stamps collecting gives more pleasure than becoming wealthy."", ""#Person2# describes #Person2#'s own stamp collecting hobby and the first postage stamps to #Person1#. They all agree that stamps collecting gives much pleasure than becoming wealthy."", ""#Person2# talks about #Person2#'s interest in collecting stamps and the first postage stamps with #Person1#. It gives #Person2# much pleasure. They all agree that stamps collecting gives much pleasure than becoming wealthy.""]","Person 2 has been collecting stamps for 9 years, finding it an exciting hobby.",0.1121,0.8648,0.7527
150,"['#Person1# finds that #Person2# e-mail exceeds capacity and suggests #Person2# compress the email.', ""#Person2#'s attachment exceeds the e-mail capacity, #Person1# suggests compressing it."", ""#Person2# can't send out an email. #Person1# suggests #Person2#'s attachment be compressed.""]",Person 1 helps Person 2 solve an email issue caused by an oversized attachment.,0.1209,0.8729,0.7521
79,"[""#Person1# comes to sign an agreement but it isn't ready until evening. So #Person1# is going through the draft."", '#Person1# is checking the draft of an agreement and #Person2# will finish the agreement this evening.', '#Person2# gives #Person1# an agreement draft and #Person1# thinks it good. #Person2# will get the agreement ready this evening.']","Person 1 and Person 2 discuss finalizing an agreement, with potential modifications needed.",0.128,0.8792,0.7511
33,"['#Person1# and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.', ""#Person1# and Mike have a disagreement on how to act out a scene. #Person1# proposes that Mike can try to act in #Person1#'s way."", '#Person1# wants Mike to act more angry, but Mike thinks he should act both angry and sad.']","Director instructs actor to portray more anger in a breakup scene, suggesting to try his approach first.",0.1203,0.8691,0.7488
49,"['#Person1# and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.', ""#Person1# and Mike have a disagreement on how to act out a scene. #Person1# proposes that Mike can try to act in #Person1#'s way."", '#Person1# wants Mike to act more angry, but Mike thinks he should act both angry and sad.']","Director instructs actor to portray more anger in a breakup scene, promising to reconsider if it doesn't feel right.",0.1116,0.8598,0.7483
411,"['#Person1# asks #Person2# for directions.', ""#Person1# asks #Person2# where to buy cigarettes, souvenirs, and the men's room."", '#Person1# asks #Person2# for some locations.']","Person 1 inquires about cigarettes, souvenirs, and restroom location; Person 2 provides necessary directions.",0.1425,0.89,0.7476
7,"['#Person2# is checking out and asks #Person1# for the bill. #Person1# gives #Person2# a wrong bill at first then corrects it.', '#Person1# helps #Person2# correct a mischarged bill on laundry service and helps #Person2# check out.', '#Person2# finds #Person2# being mischarged. #Person1# corrects the bill and #Person2# pays for it.']","Guest in Room 309 disputes a laundry charge on his bill, which the hotel staff agrees to correct.",0.1125,0.8591,0.7466
280,"['#Person1# and #Person2# are waiting for food.', '#Person1# and #Person2# are standing in line to buy food.', '#Person1# and #Person2# are waiting in line for food.']","Two friends prepare to order food; one anticipates cream cakes, the other finds them too sweet.",0.1069,0.853,0.7461
198,"[""#Person2# tells #Person1# about #Person2#'s changes and improvements after working in the same company for six years. #Person2# didn't have much chance to travel."", ""#Person1# has been working for a company for six years, and #Person2# thinks #Person2#'s ready for promotion."", '#Person2# has worked for a company for 6 years. With much experience and new skills, #Person2# tells #Person1# that #Person2# is ready for a promotion.']","#Person2#, after 6 years at a company, works longer hours, earns more, has undergone management training, but travels little due to family responsibilities.",0.1425,0.8877,0.7452
217,"['#Person1# asks #Person2# how to use the library. #Person2# offers specific directions.', '#Person1# is asking #Person2# how to use the library and will check out two books.', '#Person1# wants to use the library. #Person2# teaches #Person1# to use the library and helps to check out two books.']","Person 2 explains library usage, borrowing rules, and fine policies to Person 1.",0.1349,0.8789,0.744
352,"['#Person1# keeps asking what the paper says. #Person2# asks #Person1# to read the paper.', '#Person1# asks #Person2# what the paper says. #Person2# asks #Person1# to read the paper.', ""#Person2# is tired of #Person1#'s questions about the paper. #Person2# asks #Person1# to read the paper.""]","Two people discuss the news, weather, a bank robbery, and sports scores.",0.0743,0.8177,0.7435
100,"[""#Person1# is crazy for Trump and voted for him. #Person2# doesn't agree with #Person1# on Trump and will vote for Biden."", '#Person1# is a crazy fan of Trump and wants him to be re-elected. #Person2# will vote for Biden.', '#Person1# is crazy for Trump and voted for him but #Person2# will vote for Biden.']",Person 1 and Person 2 discuss their differing views on re-electing Trump.,0.1435,0.8866,0.7431
344,"['#Person1# and #Person2# are concerned about environmental problems. #Person1# thinks that developing countries care more about economic development than environmental protection. #Person2# would like to join an organization committed to protecting the environment.', ""#Person1# and #Person2# talk about the current environmental problems in the world. They analyze the world leaders' attitudes and actions towards these problems and discuss what they could do to solve them."", '#Person1# and #Person2# are talking about environmental problems in the world today. They think everyone is looking at the issue in the short term and damaging the environment leads to conflict between people.']","Two individuals discuss global environmental issues, potential solutions, and the importance of long-term planning and personal involvement.",0.1315,0.874,0.7425
0,"['Ms. Dawson helps #Person1# to write a memo to inform every employee that they have to change the communication method and should not use Instant Messaging anymore.', 'In order to prevent employees from wasting time on Instant Message programs, #Person1# decides to terminate the use of those programs and asks Ms. Dawson to send out a memo to all employees by the afternoon.', 'Ms. Dawson takes a dictation for #Person1# about prohibiting the use of Instant Message programs in the office. They argue about its reasonability but #Person1# still insists.']","Boss bans instant messaging at work, offenders face termination.",0.1185,0.8595,0.741
186,"[""Planes won't take off tonight and #Person2# tells #Person1# that they've arranged rooms for passengers."", '#Person2# apologizes to #Person1# for the flight delay and arranges rooms for every passenger.', '#Person2# tells #Person1# that #Person1# may have to stay in the airport hotel tonight because the planes are delayed.']","Airport closure forces passengers to stay overnight at airport hotel, two women with same habit of sleeping with lights on paired.",0.1033,0.8436,0.7404
329,"[""#Person1# finds a note on a poetry book and thinks maybe it belongs to someone famous. #Person2# still thinks #Person2#'s is better."", '#Person1# speculates the signature on the book is valuable, but #Person2# thinks it is somewhat impractical.', '#Person1# will buy a book with a signature because #Person2# thinks it belongs to someone famous. #Person2# thinks it is somewhat impractical.']","Two friends discuss the potential value of a signed, secondhand book they found in a bookstore.",0.1285,0.8637,0.7353
396,"[""#Person2#, chairman of the conference, isn't wearing required suits at #Person1#'s restaurant. #Person1#'ll puts off the conference so that #Person2# can change clothes."", '#Person2# needs to change clothes to enter the conference and #Person1# offers #Person2# the convenience by putting the conference off.', '#Person2# has to return to the hotel and wear a jacket and a tie. #Person1# helps put off the conference.']",Conference delayed to 9:30 AM due to chairman's need to fetch appropriate attire.,0.1087,0.8435,0.7348
168,"['#Person2# tells #Person1# how to get to the seventy seventh.', '#Person2# shows #Person1# the way to the seventy seventh.', '#Person2# tells #Person1# #Person1# can take Bus No. 12 to the seventy seventh.']",Person 1 asks Person 2 for directions to the city's busiest street and which bus to take.,0.14,0.8743,0.7343
439,"['#Person1# and #Person2# are talking about what they will do if they won the Pools. #Person1# will go round the world, and #Person2# will buy a big house for the family. Finally, come down to earth and have another drink.', '#Person1# wants to go around the world while #Person2# wants to buy a big house, if win the Pools. But they come down to the earth finally.', '#Person1# and #Person2# are drinking while discussing what to do if they won the Pools. #Person1# wants to go around the world while #Person2# wants to buy a big house.']","Two friends fantasize about winning the lottery, discussing travel, buying homes, and quitting work, before returning to reality over drinks.",0.1248,0.8587,0.7339
461,"['#Person1# asks #Person2# for advice to choose books.', '#Person1# wants to choose a book to read on the train and #Person2# recommends one by a Japanese novelist.', '#Person1# wants some books to kill time and #Person2# suggests a novel.']",#Person1# seeks advice on best-seller novels for a train journey from #Person2#.,0.2002,0.9308,0.7306
361,"[""#Person2# thanks #Person1# for #Person1#'s help."", ""#Person2# appreciates for #Person1# 's kind help."", ""#Person2# appreciates #Person1#'s help.""]","Person 1 helps Person 2, who expresses gratitude for their kindness and friendship.",0.137,0.8674,0.7303
187,"['Both #Person1# and #Person2# want to pay for a meal. Finally, they go dutch and #Person1# finds the place.', '#Person1# wants to repay #Person2# while #Person2# wants to do the same. They decide to go dutch finally.', '#Person1# and #Person2# argue to repay for a meal but no one succeeds. They finally decide to go dutch.']","Two friends insist on treating each other, decide to split the bill and one chooses the restaurant.",0.1307,0.8603,0.7296
397,"['#Person2# tells the trips and sports activities of the holiday camp to #Person1#. The kids enjoyed the holiday camp.', 'Though some were homesick, the kids and #Person2# enjoyed their tour to Edinburgh.', '#Person2# tells the trips and sports activities of the holiday camp to #Person1#. The kids enjoyed camp and would like to go next year.']","Children initially struggled at holiday camp, but eventually enjoyed activities like trips, sports, and a barbeque.",0.1468,0.8757,0.7289
242,"['#Person2# has known a girl from Thailand on the internet and will spend the winter vacation with her. #Person1# is surprised.', ""#Person1# is surprised that #Person2# has a girlfriend in Thailand. They've known each other over the Internet for a few months."", '#Person2# has a girlfriend in Thailand. They know each other on the Internet but never meet. #Person1# is surprised but congratulates #Person2#.']",Person 2 is visiting Thailand to meet his internet girlfriend for the first time and plans to get engaged.,0.1476,0.8762,0.7287
328,"[""#Person1# and #Person2# are talking about the dormitory deposit for next year. #Person2# wants to live off campus because #Person2# wants a quiet place. #Person1# thinks it's too expensive compared with living in the school dorm room."", '#Person1# pushes #Person2# to pay for the dormitory soon, but #Person2# is thinking about living off campus. They analyze the advantages and disadvantages of living on and off campus.', '#Person2# is not sure whether to rent a house with a higher cost or live on campus with a lower cost.']","Person 2 considers moving off-campus due to dorm noise, despite the higher cost and upcoming housing deposit deadline.",0.1406,0.869,0.7284
288,"[""#Person1# cannot stand rainy days, but #Person2#'s been used to it."", '#Person1# complains to #Person2# about the miserable weather, but #Person2# is used to it.', '#Person1# and #Person2# have a chat about the current rainy season which #Person1# can hardly endure while #Person2# has already been used to.']",Two people discuss the ongoing rainy season and their preferences for warmer weather.,0.1316,0.859,0.7274
132,"[""Rocky doesn't want to dance because no one at the party fits his type, but #Person1# likes different kinds of women from him. Finally, Rocky decides to go home to a TV dinner and his dog, Rusty"", ""Rocky wants a woman who's affectionate and fulfills his every need. #Person1# likes different kinds of women from him. Rocky doesn't mind and plans to go home and spend the night with a TV dinner and his dog, Rusty."", ""Rocky has particular requirements and cannot find a suitable woman in the party, so he doesn't want to dance. #Person1# likes different kinds of women from him. He sticks with his views and decides to go home to a TV dinner and his dog, Rusty.""]",Two friends discuss their differing views on ideal women and household responsibilities at a party.,0.1291,0.8556,0.7265
169,"[""#Person1# and #Person2# talk about a programme about Muslims' pilgrimage to Mecca and the accidents. They find such pilgrimage is also common in many faiths but #Person2# doesn't believe it."", ""#Person2# introduces a programme about Islam's pilgrimage to #Person1#. They talk about the pilgrimage in other faiths and countries as well as. #Person2# doesn't think the place where people go to get healed is magical."", ""#Person2# is watching a programme about Islam's pilgrimage to Mecca. #Person1# has heard that there are often accidents happen during this pilgrimage. They also talk about pilgrimage in other countries.""]","The conversation discusses the significance of religious pilgrimages, focusing on the Islamic Hajj to Mecca and its associated risks.",0.141,0.8671,0.7262
414,"[""#Person1# and #Person2# are talking about the terrorist attacks on 9-11, which was nightmarish for #Person1#'s family."", ""#Person1# and #Person2# remember the chaotic situation of New York after 9-11, and #Person1#'s uncle ended up dying in the tower."", ""#Person1# tells #Person2# what was going on in New York City on 9-11 and what #Person1#'s family has suffered.""]","Two individuals recall their experiences during the 9/11 terrorist attacks, including a personal loss.",0.1485,0.8745,0.726
104,"['#Person1# asks #Person2# about the table manners in China. #Person2# says there are many hazy rules that are different from Western. And #Person2# tells #Person1# stabbing chopsticks into a bowl resembles sacrifices for the death and is very inauspicious.', '#Person1# and #Person2# are discussing the differences between China and Western feasts. There are so many rules on the Chinese table, and they both feel hazy about its etiquette.', ""#Person1# and #Person2# talk about the difference in table etiquette in China. They both feel hazy about Chinese table etiquette and wrong use of chopsticks can lead to people's enrage.""]","Person 2 learns about Chinese dining etiquette, including the inappropriate use of chopsticks, from Person 1.",0.1511,0.8764,0.7253
247,"['#Person1# complains to Tony that Christmas has made #Person1# busier.', ""#Person1# works as a toy salesperson and feels so tired recently because Christmas is coming, and everyone's shopping for presents."", '#Person1# thinks selling gifts for kids is such an unpleasant job before Christmas.']",#Person1# is feeling overwhelmed and stressed due to the increased workload and chaos in the toy department at Christmas.,0.1815,0.9065,0.7251
291,"['#Person1# and #Person2# will meet after work.', '#Person2# will give #Person1# a ride after work.', '#Person1# and #Person2# go back to work and will meet after work.']",Two busy colleagues plan to leave work together at five.,0.1369,0.8593,0.7224
388,"[""#Person2# is curling eyelashes. #Person1# feels dangerous, but #Person2# doesn't think so."", ""#Person1# is afraid that eyelash curler may hurt #Person2#'s eyes."", ""#Person1# thinks the eyelash curler is very dangerous, but #Person2# doesn't think so.""]",#Person1# expresses fear and disgust at #Person2#'s use of an eyelash curler.,0.2087,0.931,0.7224
41,"['#Person1# is showing the new clothes to #Person2#, but #Person2# is busy watching the games. They quarrel and get angry.', '#Person1# and #Person2# have a serious quarrel over whether shopping for clothes or watching a sports game is more important.', ""#Person1# asks #Person2#'s opinion on new clothes, but #Person2# only focuses on the game and feels annoyed. They are both angry and argue.""]",Two people argue over attention to a football game versus discussing new clothes.,0.137,0.8591,0.7221
265,"['#Person1# and #Person2# are talking about ways to relieve anger.', '#Person2# introduces ways to relieve anger to #Person1#, including listening to music and working out.', '#Person1# and #Person2# have a discussion about what they usually do to relieve anger.']","Person 2 manages anger by calming down, listening to classical music, and exercising like jogging or yoga.",0.1504,0.8717,0.7214
22,"['#Person1# is not satisfied with the steak and #Person2# will change it.', ""#Person2# will change a steak for #Person1# as that one doesn't satisfy #Person1#."", ""#Person1# is not satisfied with #Person1#'s steak and asks to change one, and #Person2# agrees.""]",Customer complains about overcooked steak; waiter agrees to replace it.,0.1397,0.8591,0.7194
138,"['#Person2# lets #Person1# hold the ladder and #Person2# will put the curtain up.', '#Person2# suggests that #Person1# hold the ladder and #Person2# will put the curtain up.', '#Person2# lets #Person1# hold the ladder and #Person2# will put the curtain up.']","#Person1# asks #Person2# for help in hanging a curtain, and #Person2# agrees to do it.",0.2118,0.9306,0.7188
256,"['#Person1# and #Person2# start from one Chinese TV series and talk about short-lived marriage nowadays and views of marriage of only-child generation in China.', '#Person1# and #Person2# have a conversation about recent trends of Chinese marriage. They agree that the younger generation are taking marriage less seriously and will make hasty decisions.', '#Person1# and #Person2# have a discussion about the divorce rate in China and reasons hidden behind.']","Two friends discuss the Chinese TV series ""Chinese-Style Divorce"" and the rising divorce rate among young people.",0.168,0.8859,0.7179
106,"[""#Person2# wanted to join a small political party and thinks the smaller group can influence the larger one. #Person1# and #Person2# agree that most people don't fully understand politics."", ""#Person2# believes smaller political and pressure groups can influence large parties. #Person1# and #Person2# both agree that most people often don't understand politics fully."", ""#Person2# thought about joining a small party and thinks smaller political and pressure groups can influence larger ones. #Person1# and #Person2# agree most people don't understand political issues fully.""]","Person 2 considers joining the Green Party despite acknowledging its limited influence, emphasizing the importance of political awareness.",0.156,0.8731,0.7171
440,"['#Person1# is not ready for marriage. #Person2# reminds him of what he said a month ago and what will happen if he leaves Amy. After listening to #Person2#, #Person1# is ready for marriage.', '#Person1# feels anxious about future marriage and sweats a lot. #Person2# helps #Person1# to think through the current situation and get ready for the marriage.', '#Person1# is freaking out before his marriage with Amy and #Person2# helps him get over it by helping him think through all the details.']","A man panics before his wedding, but his friend calms him down and convinces him to go through with it.",0.1579,0.8743,0.7164
239,"['#Person2# tells #Person1# #Person1# can park at a parking structure and show #Person1# the direction.', '#Person1# is asking #Person2# for parking information on campus.', '#Person2# tells #Person1# a parking structure for parking and where it is.']",Person 1 inquires about on-campus parking and Person 2 suggests the western side parking structure.,0.1655,0.8816,0.7162
73,"['Mary is tired because of finding jobs in the market. #Person1# suggests Mary apply for jobs on the Internet and says she could place her information on the Job Wanted channel on a recruitment web. Mary will try at once.', '#Person1# advises Mary to try applying for a job online and teaches her how to do it. Mary will try it.', 'Mary goes to the personnel market every day and is tired. #Person1# suggests she go job hunting online. Mary will try it.']",Person 1 advises Person 2 to try online job applications for convenience and safety.,0.1693,0.8854,0.7161
232,"['#Person1# asks #Person2# about past experiences of living in different cities around the world.', '#Person1# is asking #Person2# about the places that #Person2# has stayed or lived.', ""#Person1# and #Person2# talk about #Person2#'s experience. #Person2# moves a lot. #Person1# finds it interesting.""]","#Person2# was born in Chicago, moved to Los Angeles at 14, and lived in Munich for two years.",0.1447,0.8601,0.7154
470,"[""#Person1# asks #Person2# about #Person2#'s mastery of English and other languages."", ""#Person1# makes requires about #Person2#'s English standard."", ""#Person1# tells English is important in #Person1#'s company. #Person2# introduces #Person2#'s English education and other language capabilities""]","Person 2 confirms proficiency in English, studied it since junior high, and also speaks French and Japanese.",0.1282,0.8419,0.7137
407,"['#Person1# and #Person2# go to a nightclub in Beijing and dance there. #Person1# prefers fast dances to slow dances.', '#Person1# and #Person2# go to the nightclub to dance and #Person1# prefers fast dances to slow dances.', '#Person2# takes #Person1# to a nightclub, and #Person1# has fun with fast dances.']",Two friends enjoy a night of dancing and music at a Beijing nightclub.,0.1582,0.8718,0.7136
28,"['#Person1# wants to withdraw money from an ATM, but the ATM automatically transfers 10000 USD to the World Wildlife Foundation after confirming the withdrawal option. #Person1# gets mad and somehow locked in.', ""#Person1# run out of money because of a girl, and is withdrawing money from an ATM. But the ATM seems to go wrong and transfers #Person1#'s money to the World Wildlife Foundation, driving #Person1# crazy."", ""#Person1# is withdrawing money from an ATM. But the ATM wrongly transfers #Person1#'s money to the World Wildlife Foundation. It drives #Person1# crazy.""]","A man mistakenly donates $10,000 to charity at an ATM, leading to a lockdown until authorities arrive.",0.1503,0.8638,0.7135
14,"[""#Person1# wants to adjust #Person1#'s life and #Person2# suggests #Person1# be positive and stay healthy."", '#Person1# has a bad lifestyle. #Person2# kindly advises #Person1# to be positive.', '#Person2# hopes #Person1# will become healthy and positive.']","#Person1# seeks advice for life adjustments; #Person2# suggests sleep, less alcohol, exercise, and optimism about the future.",0.2003,0.913,0.7127
68,"['#Person1# wants to lose weight. #Person2# suggests #Person1# take an exercise class to exercise more.', '#Person2# offers #Person1# some suggestions to lose weight.', '#Person2# gives #Person1# some suggestions on how to lose weight.']",#Person1# is concerned about weight gain and considers dieting and exercise as potential solutions.,0.1851,0.8979,0.7127
273,"['#Person2# leaves the samples to Mr. Grant and will talk to him next week.', '#Person2# leaves Mr. Grant with samples and will call Mr. Grant later to know the decision.', ""#Person2# leaves the samples at Mr. Grant's so he can make a decision with more consideration.""]","#Person1# postpones decision on samples, asks #Person2# to call next week.",0.1799,0.8925,0.7126
264,"['Ted likes Jenny but is afraid to ask her out. Mike encourages Ted to tell Jenny his feelings.', 'Ted likesJenny but is too afraid to express his feeling. Mike encourages him and Ted will tell her.', ""Ted likes Jenny but is afraid of telling her because he doesn't want to be turned down. Mike encourages Ted to tell Jenny.""]","Person 2 encourages Person 1 to confess his feelings to Jenny, despite his fear of rejection.",0.1873,0.8995,0.7123
36,"['Simon and Cleo have different opinions towards the demonstration to help stop the spread of nuclear weapons. Cleo thinks it is useless, while Simon considers that Cleo should go to the demonstration.', ""Cleo has no intention to attend the demonstration to help stop the spread of nuclear weapons, because Cleo hates police standing by with tear gas. Simon tries to change Cleo's mind but it doesn't work."", 'Simon and Cleo argue the effectiveness of demonstrations. Simon thinks they are helpful, but Cleo disagrees and refuses to go to the demonstration of helping stop the spread of nuclear weapons with Simon.']","Simon tries to convince Cleo to attend a nuclear disarmament demonstration, but she declines, preferring to study for her physics exam.",0.1821,0.8943,0.7122
236,"[""Eric offers to treat Gregory a meal. Eric is telling Gregory about the bungee jumping experience. Eric's found that his wallet was lost."", ""Eric invites Gregory for lunch and they talk about bungee jumping Eric tried. Eric thinks Gregory should try it but Gregory doesn't think so."", 'Eric treats Gregory to lunch. Eric went bungee jumping and suggests Gregory should try. Gregory thinks Eric has lost himself. Eric finds he loses his wallet.']","Person 1 invites Person 2 for lunch and shares his bungee jumping experience, offering to teach Person 2, who declines.",0.1778,0.8899,0.7121
392,"['Stephanie has a headache before the report due. George suggests that she should ask for more time, and he is willing to help with the report.', ""Stephanie has a headache but doesn't see a doctor because of the report due and George is willing to help with the report and suggests she ask the board for more time"", ""Stephanie has a headache but doesn't see a doctor because of the due. George suggests that she should ask the board for more time and he is willing to help.""]",Stephanie is feeling unwell due to lack of sleep and stress from an upcoming report deadline.,0.1605,0.8725,0.712
481,"['#Person1# and #Person2# flip a coin to decide which one should get the bottom bunk and #Person2# wins. They negotiate the setting of other things and #Person1# gets the desk by the window. They start to unpack.', '#Person1# and #Person2# initiate a plan to divide the furniture in the room. #Person1# takes the bottom bunk by flipping a coin whereas #Person1# takes the better stereos and the nicer desk.', ""#Person2# has the bottom bunk by winning the coin flip with #Person1#. They decide to use #Person1#'s stereos because it's better. #Person1# has the desk by the window for it's fair. #Person1# will go out for food and come back to unpack after #Person2# has done.""]","Two people are deciding on room arrangements, including bed, stereo, and desk placements.",0.1315,0.8434,0.7119
98,"['Susan calls Carol to ask about the party time. But Carol is taking a shower so #Person1# answers for her.', 'Carol is taking a shower when Carol calls her, so #Person1# answers the telephone and tells her the party time.', 'Susan calls to ask Carol about the party time. #Person1# answers the phone and tells her.']",Carol confirms party is tomorrow night at 8:30 at Jill's house; Susan may bring dessert.,0.1305,0.8423,0.7118
154,"['#Person1# is angry about the crank calls.', '#Person1# gets a crank call and is angry about it.', '#Person1# receives a phone call but no one speaks.']",#Person1# threatens to report a persistent silent caller to the police.,0.2042,0.9153,0.7111
123,"[""#Person1#'s organization will make a decision in about one week and contact #Person2# via phone or e-mail."", '#Person1# can inform #Person2# by phone or e-mail when the organization makes a decision in about one week.', ""#Person1# can tell #Person2# their organization's decision by phone or e-mail in about one week.""]",Person 2 provides contact details and asks when a decision will be made; Person 1 responds with a week.,0.1598,0.8698,0.7099
281,"['#Person1# asks Lucy to sing but Lucy is unwilling to do so.', '#Person1# tries to persuade Lucy to sing but Lucy would rather just listen.', '#Person1# encourages Lucy to sing but Lucy just wants to listen.']","Lucy avoids singing at a karaoke event, instead suggesting Stanley sings an Elvis song.",0.154,0.8639,0.7099
